"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"041054","San Lorenzo in Campo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1587,"p","dato provvisorio"
"041054","San Lorenzo in Campo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1738,"p","dato provvisorio"
"041054","San Lorenzo in Campo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3325,"p","dato provvisorio"
"031020","San Lorenzo Isontino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",786,"p","dato provvisorio"
"031020","San Lorenzo Isontino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",762,"p","dato provvisorio"
"031020","San Lorenzo Isontino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",1548,"p","dato provvisorio"
"062062","San Lorenzo Maggiore","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1067,"p","dato provvisorio"
"062062","San Lorenzo Maggiore","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1031,"p","dato provvisorio"
"062062","San Lorenzo Maggiore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2098,"p","dato provvisorio"
"056047","San Lorenzo Nuovo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1042,"p","dato provvisorio"
"056047","San Lorenzo Nuovo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1065,"p","dato provvisorio"
"056047","San Lorenzo Nuovo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",2107,"p","dato provvisorio"
"080074","San Luca","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1850,"p","dato provvisorio"
"080074","San Luca","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1868,"p","dato provvisorio"
"080074","San Luca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",3718,"p","dato provvisorio"
"078122","San Lucido","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3024,"p","dato provvisorio"
"078122","San Lucido","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3105,"p","dato provvisorio"
"078122","San Lucido","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2019","2019",6129,"p","dato provvisorio"
"062063","San Lupo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",386,"p","dato provvisorio"
"062063","San Lupo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",383,"p","dato provvisorio"
